id,ime,podrocje,nadstropje,leto,velikost,cena
6062917,"BTC, NASELJE ATRIUM, ZELENA JAMA",Moste-Polje,4,2010,169.53,344040.92
6062911,"BTC, NASELJE ATRIUM, ZELENA JAMA",Moste-Polje,4,2010,169.53,342056.44
6074693,BTC,Moste-Polje,4,1977,55.0,138000.0
6063893,"BTC, NASELJE ATRIUM, ZELENA JAMA",Moste-Polje,4,2010,169.53,344645.2
6073676,"BTC, NOVE JARŠE",Moste-Polje,VP,1962,46.0,105000.0
5990733,DOBRUNJE,Moste-Polje,P,1928,52.3,85000.0
6069212,FUŽINE,Moste-Polje,P,1981,34.8,83500.0
5982626,FUŽINE,Moste-Polje,1,1987,87.0,160000.0
6070867,"FUŽINE, BLIŽINA FUŽINSKEGA GRADU",Moste-Polje,1,1870,55.0,115000.0
6074437,"FUŽINE, BRODARJEV TRG",Moste-Polje,VP,1982,69.0,135000.0
6045706,"FUŽINE, OSENJAKOVA",Moste-Polje,4,1988,87.0,165000.0
6075131,"FUŽINE, ŠTEPANJSKO NASELJE, BREZ PROVIZIJE",Moste-Polje,4,1977,23.3,61900.0
6066110,"FUŽINE, ŠTEPNJSKO NASELJE, BREZ PROVIZIJE ZA KUPCA",Moste-Polje,2,1977,23.3,68000.0
6074520,JARŠE,Moste-Polje,VP,1961,41.7,105000.0
6068302,JARŠE,Moste-Polje,7,1982,79.2,179000.0
6063421,KODELJEVO,Moste-Polje,1,2002,64.8,135000.0
6069104,"KODELJEVO, MIRNA LOKACIJA Z VRTOM",Moste-Polje,1,1960,54.0,135000.0
6074761,"KODELJEVO, VRT, POLOVIČNA PROVIZIJA",Moste-Polje,M,2000,110.0,222000.0
6053946,LJ. MOSTE,Moste-Polje,P,2008,40.0,79900.0
6066337,LJ. MOSTE,Moste-Polje,P,1899,43.1,79000.0
6070025,LJ. MOSTE,Moste-Polje,4,1966,51.0,109900.0
5464721,LJ. MOSTE,Moste-Polje,VP,2016,62.7,156000.0
6053082,LJ. MOSTE,Moste-Polje,1,1950,63.3,115000.0
6068369,LJ. MOSTE,Moste-Polje,M,1950,65.0,147000.0
6054327,LJ. MOSTE,Moste-Polje,1,2016,65.5,156000.0
5953705,LJ. MOSTE,Moste-Polje,VP,1960,75.2,148000.0
6076170,LJ. MOSTE,Moste-Polje,2,1957,78.9,125000.0
6070776,LJ. MOSTE,Moste-Polje,VP,1969,82.6,150000.0
6059137,LJ. MOSTE,Moste-Polje,1,1968,84.6,168500.0
6059953,LJ. MOSTE,Moste-Polje,1,1968,84.6,168500.0
5873055,"LJ. CENTER, TRNOVO, CESTA V ZELENI LOG",Moste-Polje,P,2004,112.7,225000.0
6066501,LJ. MOSTE,Moste-Polje,P,1900,110.9,197000.0
5952316,LJ. MOSTE,Moste-Polje,P,1900,118.6,200000.0
6054887,"LJ. MOSTE, - POLJE",Moste-Polje,VP,1956,89.0,223000.0
6057327,"LJ. MOSTE, BLIZU ZDRAVSTVENEGA DOMA",Moste-Polje,P,1960,58.2,122000.0
6063015,"LJ. MOSTE, BLIŽINA TRŽNICE",Moste-Polje,1,1927,47.0,99000.0
6048644,"LJ. MOSTE, BLIŽINA ZDRAVSTVENEGA DOMA",Moste-Polje,P,1900,110.92,197000.0
5932572,"LJ. MOSTE, DOBRUNJE, JAVOR",Moste-Polje,P,1950,38.0,59000.0
6071280,"LJ. MOSTE, JARŠE - BEBLERJEV TRG",Moste-Polje,7,1982,79.2,175000.0
6023327,"LJ. MOSTE, KAJUHOVA",Moste-Polje,11,1967,70.7,165000.0
6076095,"LJ. MOSTE, KODELJEVO",Moste-Polje,VP,1949,50.8,115000.0
6069434,"LJ. MOSTE, KODELJEVO",Moste-Polje,1,1959,52.1,135000.0
6043150,"LJ. MOSTE, KODELJEVO",Moste-Polje,1,1946,69.6,155000.0
6067520,"LJ. MOSTE, KODELJEVO, POLOVIČNA PROVIZIJA",Moste-Polje,1,1959,64.8,135000.0
6004359,"LJ. MOSTE, LE STRELJAJ OD CENTRA",Moste-Polje,P,1987,69.0,159000.0
6052194,"LJ. MOSTE, MIRNA LOKACIJA",Moste-Polje,1,1963,49.52,119000.0
6074727,"LJ. MOSTE, NOVE JARŠE",Moste-Polje,4,1977,55.0,138000.0
6073013,"LJ. MOSTE, NOVE JARŠE",Moste-Polje,4,1977,59.5,138000.0
6075524,"LJ. MOSTE, NOVE JARŠE, BTC",Moste-Polje,1,2000,38.0,108000.0
6016178,"LJ. MOSTE, OB KAJUHOVI",Moste-Polje,1,1964,67.0,135000.0
6069437,"LJ. MOSTE, POLJE",Moste-Polje,4,1974,29.0,73000.0
6074310,"LJ. MOSTE, POLJE",Moste-Polje,VP,1956,92.7,223000.0
6035292,"LJ. MOSTE, POLJE - SNEBERJE",Moste-Polje,1,1965,41.3,83000.0
6059257,"LJ. MOSTE, POLJE, CESTA VI/10",Moste-Polje,4,1976,30.0,71000.0
6071140,"LJ. MOSTE, POT NA FUŽINE",Moste-Polje,3,1981,30.2,79000.0
5804324,"LJ. MOSTE, RUSJANOV TRG",Moste-Polje,13,1987,36.62,84990.0
6025792,"LJ. MOSTE, ŠTEP. NASELJE, JAKČEVA ULICA",Moste-Polje,7,1978,28.8,79000.0
6064847,"LJ. MOSTE, ŠTEPANJSKO NASELJE",Moste-Polje,2,1977,21.1,68000.0
6048318,"LJ. MOSTE, ŠTEPANJSKO NASELJE",Moste-Polje,12,1978,27.0,77000.0
6041038,"LJ. MOSTE, ŠTEPANJSKO NASELJE",Moste-Polje,12,1978,27.0,77000.0
6075452,"LJ. MOSTE, ŠTEPANJSKO NASELJE",Moste-Polje,4,1975,63.9,128900.0
6074454,"LJ. MOSTE, ŠTEPANJSKO NASELJE",Moste-Polje,10,1978,64.8,155000.0
5788506,"LJ. BEŽIGRAD, PRI ASTRI",Moste-Polje,PK,2000,53.0,131000.0
6064254,"LJ. MOSTE, ZADOBROVA",Moste-Polje,1,2009,30.5,70000.0
5924595,"LJ. MOSTE, ZALOG",Moste-Polje,P,2008,40.0,79900.0
6016590,"LJ. MOSTE, ZALOG",Moste-Polje,1,2007,53.3,94000.0
6054331,"LJ. MOSTE, ZALOG",Moste-Polje,2,1960,82.2,160000.0
6054339,"LJ. MOSTE, ZALOG",Moste-Polje,2,1960,99.5,190000.0
6054338,"LJ. MOSTE, ZALOG",Moste-Polje,1,1960,108.3,200000.0
6042347,"LJ. MOSTE, ZALOSKA CESTA",Moste-Polje,1,1961,24.0,59990.0
6043043,"LJ. MOSTE, ZALOŠKA CESTA",Moste-Polje,3,1912,50.0,90000.0
6047592,"LJ. MOSTE, ZELENA JAMA",Moste-Polje,1,2009,138.3,585000.0
6064168,"LJ. MOSTE, ZELENA JAMA, NASELJE ATRIUM",Moste-Polje,4,2010,169.53,344645.2
6062662,"NOVE FUŽINE, BRODARJEV TRG",Moste-Polje,1,1981,54.7,134000.0
6073586,"NOVE FUŽINE, PREGLOV TRG",Moste-Polje,P,1983,50.0,125000.0
6074423,NOVE JARŠE,Moste-Polje,4,1977,58.0,138000.0
6057775,NOVE JARŠE,Moste-Polje,VP,1940,150.7,180000.0
6073410,"NOVE JARŠE, BEBLERJEV TRG",Moste-Polje,6,1982,65.0,163000.0
6068328,"NOVE JARŠE, HERMANA POTOČNIKA",Moste-Polje,4,1986,35.0,108900.0
6064497,"NOVE JARŠE, JARSKA CESTA",Moste-Polje,VP,1962,38.5,92000.0
6073048,"NOVE JARŠE, JARŠE. BREZ PROVIZIJE ZA KUPCA",Moste-Polje,4,1977,63.8,138000.0
6074035,"NOVE JARŠE, JARŠKA CESTA",Moste-Polje,VP,1962,38.5,91990.0
6071221,"NOVE JARŠE, JARŠKA CESTA",Moste-Polje,VP,1964,42.0,105000.0
6069052,"NOVE JARŠE, KRIŽNA ULICA 19A",Moste-Polje,2,2013,78.8,195000.0
6069616,NOVO POLJE,Moste-Polje,2,1970,85.0,114000.0
6073053,"NOVO POLJE, VELIK ATRIJ",Moste-Polje,VP,1956,89.0,223000.0
6070331,POLJE,Moste-Polje,4,1974,30.0,73000.0
6016440,POLJE,Moste-Polje,P,1998,39.3,78000.0
6071014,POLJE,Moste-Polje,1,1973,49.0,110000.0
5921468,"POLJE, ZA OBVOZNICO",Moste-Polje,1,1968,71.0,119000.0
6010833,"POLJE, ZAČETEK POLJA, TIK CEZ OBVOZNICO",Moste-Polje,1,1900,67.5,120000.0
6059619,"POLJE, ZALOŠKA CESTA 186",Moste-Polje,2,1912,51.7,115000.0
6067914,ŠTEPANJA VAS,Moste-Polje,4,1977,22.0,63000.0
6058421,"ŠTEPANJA VAS, BILEČANSKA ULICA 5",Moste-Polje,10,1978,65.0,155000.0
6066429,ŠTEPANJSKO NASELJE,Moste-Polje,2,1977,21.12,68000.0
6063792,ŠTEPANJSKO NASELJE,Moste-Polje,2,1978,23.0,68000.0
6073885,ŠTEPANJSKO NASELJE,Moste-Polje,6,1978,63.0,150000.0
6073049,"ŠTEPANJSKO NASELJE, BILEČANSKA ULICA",Moste-Polje,10,1978,65.8,155000.0
6050807,"ŠTEPANJSKO NASELJE, BLIŽINA",Moste-Polje,P,2011,80.0,245000.0
6053916,"ŠTEPANJSKO NASELJE, BLIŽINA VRTCA OTONA ZUPANČIČA",Moste-Polje,1,1914,26.6,73000.0
6069479,"ŠTEPANJSKO NASELJE, JAKČEVA 2",Moste-Polje,6,2014,63.0,150000.0
5634772,"ŠTEPANJSKO NASELJE, NUSDORFERJEVA",Moste-Polje,3,1975,60.0,129000.0
5417407,VEVČE,Moste-Polje,2,2001,25.0,69000.0
6057764,VEVČE,Moste-Polje,M,2010,58.2,98000.0
5598092,VEVČE,Moste-Polje,1,1900,80.5,100000.0
6069914,"VEVČE, MOSTE POLJE",Moste-Polje,2,1960,46.6,108000.0
6074592,"VEVČE, PAPIRNIŠKI TRG",Moste-Polje,1,1943,62.5,107000.0
6068247,ZALOG,Moste-Polje,2,1970,74.0,195000.0
6066722,ZALOG,Moste-Polje,1,1972,81.0,189000.0
5980696,ZELENA JAMA,Moste-Polje,VP,1953,67.0,150000.0
6069317,"ZELENA JAMA, POKOPALIŠKA",Moste-Polje,3,1965,69.3,140000.0
5787961,"BS 3, REBOLJEVA ULICA",Moste-Polje,2,1978,53.94,116000.0
6046486,ZG. KAŠELJ,Moste-Polje,1,2006,54.9,140000.0
6067416,ZG. KAŠELJ,Moste-Polje,VP,2006,68.1,129000.0
