id,ime,podrocje,nadstropje,leto,velikost,cena
6075143,LJ. ŠIŠKA,Siska,4,2009,107.42,156100.0
6063706,"VIŽMARJE, VIŽMARSKA POT",Siska,2,2007,41.7,120500.0
6063648,BROD,Siska,1,2006,36.1,115000.0
6050839,"BROD, ATRIJSKO, SOSESKA OSMICA",Siska,P,2016,93.61,301767.0
5789989,"MENGEŠ, TRDINOV TRG",Siska,1,2008,55.0,130000.0
6070980,"BROD, ATRIJSKO, SOSESKA OSMICA",Siska,P,2016,93.61,301767.0
6071038,"BROD, LJ. TACENSKI DVORI",Siska,1,2004,94.5,230000.0
6056228,"BROD, MIRNA LOKACIJA BLIZU NARAVE",Siska,4,2009,118.62,320000.0
6050845,"BROD, PENTHOUSE, SOSESKA OSMICA",Siska,2,2016,91.44,266308.0
6070982,"BROD, PENTHOUSE, SOSESKA OSMICA",Siska,2,2016,91.44,266308.0
6050852,"BROD, PENTHOUSE, SOSESKA OSMICA",Siska,2,2016,92.41,223270.9
6070989,"BROD, PENTHOUSE, SOSESKA OSMICA",Siska,2,2016,92.41,223270.9
6050861,"BROD, SOSESKA OSMICA",Siska,1,2016,41.29,140036.0
6070994,"BROD, SOSESKA OSMICA",Siska,1,2016,41.29,140036.0
6033361,"BROD, SOSESKA OSMICA",Siska,1,2016,41.29,140036.0
6050862,"BROD, SOSESKA OSMICA",Siska,1,2016,48.81,159533.0
6070998,"BROD, SOSESKA OSMICA",Siska,1,2016,48.81,159533.0
6069635,"BROD, TACENSKI DVORI",Siska,1,2004,77.84,232000.0
6027327,DRAVLJE,Siska,4,1983,21.5,47000.0
6074241,DRAVLJE,Siska,6,1982,30.2,78000.0
6070325,DRAVLJE,Siska,10,1984,32.0,84500.0
6059832,DRAVLJE,Siska,9,1983,32.5,84500.0
6076045,DRAVLJE,Siska,P,1982,32.7,65000.0
6075594,DRAVLJE,Siska,2,1969,47.8,140000.0
6071127,DRAVLJE,Siska,8,1977,64.3,129000.0
6042047,DRAVLJE,Siska,1,2011,68.29,195000.0
6075010,DRAVLJE,Siska,3,1983,72.6,150000.0
6065388,DRAVLJE,Siska,3,1984,98.0,215000.0
6062423,DRAVLJE,Siska,3,1984,98.4,215000.0
6073056,"DRAVLJE, DRAVELJSKA GMAJNA",Siska,2,1983,105.0,241500.0
6055876,"DRAVLJE, NASPROTI MERCATOR CENTRA ŠIŠKA",Siska,3,1982,31.0,79500.0
6063840,"DRAVLJE, ULICA 28. MAJA 63",Siska,2,1970,36.0,90000.0
6075435,GUNCLJE,Siska,1,2007,140.0,285000.0
6066443,KOSEZE,Siska,1,1974,48.0,160000.0
6074155,KOSEZE,Siska,8,2002,51.0,127000.0
6075682,KOSEZE,Siska,1,2007,92.0,165000.0
6035531,KOSEZE,Siska,P,2008,100.5,695000.0
6055215,"KOSEZE, BLIŽINA KOSEŠKEGA BAJERJA",Siska,P,1971,60.1,139000.0
6064091,"KOSEZE, LEDARSKA",Siska,2,2008,49.0,235000.0
6045389,"KOSEZE, TERASASTI BLOKI, BRATOV UČAKAR",Siska,3,1978,78.1,170000.0
6050086,LJ. ŠIŠKA,Siska,PK,1933,20.5,42000.0
6069849,LJ. ŠIŠKA,Siska,2,2009,34.7,55000.0
5788885,"KOPER, ZG. SEMEDELA",Siska,4,1973,64.62,116000.0
6076096,LJ. ŠIŠKA,Siska,5,1967,37.6,105000.0
6075146,LJ. ŠIŠKA,Siska,7,2009,37.9,68500.0
6059844,LJ. ŠIŠKA,Siska,1,2006,38.0,110000.0
6015435,LJ. ŠIŠKA,Siska,1,1931,40.0,82000.0
6059860,LJ. ŠIŠKA,Siska,VP,1940,44.4,110000.0
6075397,LJ. ŠIŠKA,Siska,6,2009,45.2,125900.0
6075151,LJ. ŠIŠKA,Siska,5,2009,45.8,107000.0
6075297,LJ. ŠIŠKA,Siska,3,1973,48.0,148000.0
6075400,LJ. ŠIŠKA,Siska,6,2009,48.4,107800.0
6075140,LJ. ŠIŠKA,Siska,6,2009,48.8,109700.0
6075402,LJ. ŠIŠKA,Siska,6,2009,51.2,113800.0
6075144,LJ. ŠIŠKA,Siska,7,2009,51.3,111800.0
6075155,LJ. ŠIŠKA,Siska,8,2009,51.3,119100.0
6073512,LJ. ŠIŠKA,Siska,4,1963,56.0,117000.0
6070979,LJ. ŠIŠKA,Siska,1,2009,56.5,210000.0
6067526,LJ. ŠIŠKA,Siska,1,2010,56.54,205000.0
6074949,LJ. ŠIŠKA,Siska,VP,1965,58.3,130000.0
6076052,LJ. ŠIŠKA,Siska,3,2005,59.2,198000.0
5961693,LJ. ŠIŠKA,Siska,P,2000,59.4,149000.0
6075403,LJ. ŠIŠKA,Siska,6,2009,59.5,139200.0
6075408,LJ. ŠIŠKA,Siska,8,2009,60.8,133900.0
6075401,LJ. ŠIŠKA,Siska,6,2009,61.6,117600.0
6075404,LJ. ŠIŠKA,Siska,7,2009,64.0,119500.0
6075142,LJ. ŠIŠKA,Siska,7,2009,64.1,119300.0
6075150,LJ. ŠIŠKA,Siska,8,2009,64.1,120200.0
6071671,LJ. ŠIŠKA,Siska,P,1889,64.6,195000.0
6058135,LJ. ŠIŠKA,Siska,VP,1933,66.0,99000.0
6075156,LJ. ŠIŠKA,Siska,5,2009,73.12,120300.0
6071388,LJ. ŠIŠKA,Siska,2,1948,75.0,165000.0
6071385,LJ. ŠIŠKA,Siska,2,1948,75.0,165000.0
6074015,LJ. ŠIŠKA,Siska,2,2006,77.4,188000.0
6075141,LJ. ŠIŠKA,Siska,3,2009,78.3,149800.0
6075148,LJ. ŠIŠKA,Siska,4,2009,78.3,151900.0
6044606,LJ. ŠIŠKA,Siska,7,1978,79.1,158000.0
6075631,LJ. ŠIŠKA,Siska,VP,1968,80.0,185000.0
6075158,LJ. ŠIŠKA,Siska,2,2009,86.09,156200.0
6075406,LJ. ŠIŠKA,Siska,3,2009,86.9,162900.0
6064223,LJ. ŠIŠKA,Siska,2,1952,88.7,229000.0
6056961,LJ. ŠIŠKA,Siska,2 ,1966,89.0,149000.0
6075405,LJ. ŠIŠKA,Siska,7,2009,91.6,151000.0
