id,ime,podrocje,nadstropje,leto,velikost,cena,posredovanje,tip1
6060672,"LJ. BEŽIGRAD, DUNAJSKA CESTA 113",Bezigrad,1,1991,36.0,91800.0,Prodaja,Stanovanje
6066797,BEŽIGRAJSKI DVOR,Bezigrad,4,1993,139.0,360000.0,Prodaja,Stanovanje
6053645,"BEŽIGRAJSKI DVOR, LJ. BEŽIGRAD",Bezigrad,5,1996,193.8,620000.0,Prodaja,Stanovanje
6057417,"BRINJE, BEŽIGRAD",Bezigrad,4,1966,25.0,79000.0,Prodaja,Stanovanje
6067684,"BRINJE, ULICA POHORSKEGA BATALJONA",Bezigrad,3,1964,59.2,125000.0,Prodaja,Stanovanje
6063952,BS 3,Bezigrad,1,1978,53.1,140000.0,Prodaja,Stanovanje
6065558,BS 3,Bezigrad,1,1978,57.4,134500.0,Prodaja,Stanovanje
6064698,"BS 3, BEŽIGRAD",Bezigrad,2,1978,36.0,98500.0,Prodaja,Stanovanje
6048818,"BS 3, BLIŽINA FAKULTET",Bezigrad,1,1976,53.17,145000.0,Prodaja,Stanovanje
6064036,"BS 3, LJ. BEŽIGRAD",Bezigrad,1,1978,57.0,134500.0,Prodaja,Poslovni prostor
6051548,"BS 3, VOJKOVA 73",Bezigrad,9,1982,45.9,99999.0,Prodaja,Stanovanje
5929561,ČRNUČE,Bezigrad,4,1975,38.0,105000.0,Prodaja,Stanovanje
6051535,ČRNUČE,Bezigrad,VP,1981,45.0,104900.0,Prodaja,Stanovanje
6058103,ČRNUČE,Bezigrad,2,2010,45.68,137000.0,Prodaja,Stanovanje
6068583,"LJ. BEŽIGRAD, EINSPIELERJEVA ULICA",Bezigrad,4,1963,22.3,81000.0,Prodaja,Stanovanje
6069389,"LJ. BEŽIGRAD, GLAVARJEVA",Bezigrad,2,1965,62.2,168500.0,Prodaja,Stanovanje
6035067,"LJ. BEŽIGRAD, GLAVARJEVA REZIDENCA",Bezigrad,P,2006,116.39,420000.0,Prodaja,Stanovanje
6045998,"LJ. BEŽIGRAD, HEQUETOVA",Bezigrad,7,2009,123.2,520000.0,Prodaja,Stanovanje
5993124,"LJ. BEŽIGRAD, HITER DOSTOP DO OBVOZNICE",Bezigrad,4,2014,79.4,280255.64,Prodaja,Stanovanje
5990233,"LJ. BEŽIGRAD, HITER DOSTOP DO OBVOZNICE",Bezigrad,5,2014,108.21,384143.64,Prodaja,Stanovanje
6061494,"LJ. BEŽIGRAD, KOMANOVA",Bezigrad,1,2011,118.37,330000.0,Prodaja,Stanovanje
6055501,"LJ. BEŽIGRAD, KUPEC NE PLAČA PROVIZIJE",Bezigrad,6,2014,61.48,218488.0,Prodaja,Stanovanje
6055498,"LJ. BEŽIGRAD, KUPEC NE PLAČA PROVIZIJE",Bezigrad,4,2014,80.97,286847.0,Prodaja,Stanovanje
6055793,"LJ. BEŽIGRAD, KUPEC NE PLAČA PROVIZIJE",Bezigrad,7,2014,86.9,335778.0,Prodaja,Stanovanje
6055822,"LJ. BEŽIGRAD, KUPEC NE PLAČA PROVIZIJE",Bezigrad,10,2014,90.88,400348.0,Prodaja,Stanovanje
5795497,"MARIBOR, BLIZU MAGDALENSKEGA PARKA",Bezigrad,VP,2011,69.2,79000.0,Prodaja,Stanovanje
6055788,"LJ. BEŽIGRAD, KUPEC NE PLAČA PROVIZIJE",Bezigrad,7,2014,101.38,431948.0,Prodaja,Stanovanje
6055803,"LJ. BEŽIGRAD, KUPEC NE PLAČA PROVIZIJE",Bezigrad,9,2014,114.55,637415.0,Prodaja,Stanovanje
