id,tip
5966303,4-sobno
6060672,garsonjera
6037821,4-sobno
6066797,"4,5-sobno"
6043505,"4,5-sobno"
6053645,4-sobno
6052628,4-sobno
6059940,2-sobno
6057417,garsonjera
6068356,4-sobno
6067684,2-sobno
6067919,"1,5-sobno"
6063952,2-sobno
6063763,"2,5-sobno"
6065558,"2,5-sobno"
6063810,2-sobno
6066740,1-sobno
6064698,1-sobno
6068353,2-sobno
6048818,2-sobno
5798469,kombiniran prostor
6064036,2-sobno
6057511,"2,5-sobno"
6051548,"1,5-sobno"
6062775,3-sobno
5929561,1-sobno
5986682,1-sobno
6051535,1-sobno
6014930,"1,5-sobno"
6058103,"1,5-sobno"
6065673,"1,5-sobno"
5990231,2-sobno
6068583,garsonjera
6067595,"3,5-sobno"
6069389,3-sobno
6064154,3-sobno
6035067,4-sobno
5786269,4-sobno
6067405,3-sobno
6045998,3-sobno
6068435,3-sobno
5993124,3-sobno
5990235,4-sobno
5990233,4-sobno
5990234,4-sobno
6061494,4-sobno
6055507,2-sobno
6055501,2-sobno
6055798,3-sobno
6055498,3-sobno
6055497,3-sobno
6055793,3-sobno
6055786,3-sobno
6055822,4-sobno
6055814,4-sobno
5795497,"2,5-sobno"
6055801,4-sobno
6055788,4-sobno
6055495,4-sobno
6055803,5 in večsobno
6055783,4-sobno
6055816,4-sobno
6055810,4-sobno
6055821,4-sobno
6055790,4-sobno
6055791,5 in večsobno
5955757,4-sobno
6033622,2-sobno
6051798,3-sobno
5990230,garsonjera
6021424,4-sobno
6062926,"1,5-sobno"
6064978,2-sobno
5788351,soba
6064397,"2,5-sobno"
6069612,"2,5-sobno"
5968732,3-sobno
6069596,4-sobno
6063933,3-sobno
6008415,2-sobno
6047263,"2,5-sobno"
6068980,2-sobno
6019928,4-sobno
6061596,3-sobno
6069503,3-sobno
6051493,"2,5-sobno"
6067980,2-sobno
5940104,3-sobno
5989612,2-sobno
6062960,5 in večsobno
5965666,5 in večsobno
6060999,3-sobno
6068758,3-sobno
6069714,3-sobno
6069794,2-sobno
6048756,3-sobno
6057515,3-sobno
5983199,3-sobno
6019129,4-sobno
5955806,4-sobno
5955798,5 in večsobno
6063471,4-sobno
5855376,"3,5-sobno"
5929146,"3,5-sobno"
6068346,2-sobno
5929181,2-sobno
6013593,3-sobno
6042392,5 in večsobno
5947648,2-sobno
6038487,3-sobno
6066715,2-sobno
6066705,4-sobno
5996873,4-sobno
6054533,1-sobno
6068084,3-sobno
6042357,1-sobno
6066537,3-sobno
6066758,3-sobno
6024860,4-sobno
6068982,4-sobno
5807360,2-sobno
6041364,"1,5-sobno"
6066453,"1,5-sobno"
6048735,"1,5-sobno"
6059000,1-sobno
6069578,3-sobno
6055565,2-sobno
6067769,"3,5-sobno"
5992598,3-sobno
6069380,3-sobno
6066577,4-sobno
5985796,4-sobno
6048387,5 in večsobno
5795497,"2,5-sobno"
5491755,4-sobno
6066651,"4,5-sobno"
5886982,2-sobno
6027045,3-sobno
6066321,"2,5-sobno"
6066375,3-sobno
6054650,4-sobno
5901870,"1,5-sobno"
6015913,5 in večsobno
6004458,"3,5-sobno"
6012126,2-sobno
6069601,"1,5-sobno"
6033232,"2,5-sobno"
6033236,4-sobno
6033652,4-sobno
6064997,2-sobno
5967396,1-sobno
5967393,1-sobno
5967391,2-sobno
5967387,2-sobno
5967390,2-sobno
5967383,2-sobno
5967386,2-sobno
5967380,"2,5-sobno"
5967381,"2,5-sobno"
5967377,3-sobno
5967371,3-sobno
5967374,3-sobno
5967367,3-sobno
5967375,3-sobno
5967369,3-sobno
5967372,3-sobno
5967353,4-sobno
5967357,4-sobno
5967362,4-sobno
6068338,garsonjera
6064220,garsonjera
6012027,garsonjera
6063089,"1,5-sobno"
6064306,2-sobno
6060684,"1,5-sobno"
5995287,"1,5-sobno"
6050873,"1,5-sobno"
6066424,1-sobno
6056978,2-sobno
6069056,2-sobno
6066878,garsonjera
6014243,garsonjera
5793590,zazidljiva
6069347,2-sobno
6056957,"2,5-sobno"
6045657,"2,5-sobno"
6064562,2-sobno
6067244,2-sobno
5793590,zazidljiva
6066547,2-sobno
6054156,3-sobno
6069918,3-sobno
5902889,"2,5-sobno"
6007781,2-sobno
6066913,2-sobno
6014817,2-sobno
6066871,2-sobno
6017515,2-sobno
6066872,2-sobno
6066876,2-sobno
6066817,2-sobno
6007790,2-sobno
6066877,2-sobno
6066873,2-sobno
6066879,2-sobno
6007780,2-sobno
6048752,2-sobno
6015796,2-sobno
6069260,"2,5-sobno"
5965178,3-sobno
6070029,3-sobno
6067576,3-sobno
6069555,3-sobno
6041677,3-sobno
6065149,"2,5-sobno"
5641420,3-sobno
6066304,3-sobno
5991466,3-sobno
6066870,3-sobno
6007777,3-sobno
5967345,2-sobno
6015812,3-sobno
5795497,"2,5-sobno"
5865944,3-sobno
5998428,3-sobno
6066890,3-sobno
6066901,3-sobno
6066896,3-sobno
6069585,"2,5-sobno"
5887643,3-sobno
6069518,3-sobno
6016833,3-sobno
6066874,3-sobno
6066891,3-sobno
6066886,3-sobno
5946883,3-sobno
6044548,3-sobno
6066915,3-sobno
6066912,3-sobno
6015805,3-sobno
5896088,3-sobno
5887140,3-sobno
6065286,3-sobno
5893829,3-sobno
6066889,3-sobno
6066885,3-sobno
6066899,3-sobno
6035980,4-sobno
6052322,"2,5-sobno"
6066910,3-sobno
6064055,3-sobno
5896090,3-sobno
6066900,3-sobno
6069637,4-sobno
6062965,4-sobno
6015933,3-sobno
5936334,4-sobno
5888956,3-sobno
6068288,4-sobno
6066884,4-sobno
5893832,4-sobno
