id,ime,podrocje,nadstropje,leto,velikost,cena
6062917,"BTC, NASELJE ATRIUM, ZELENA JAMA",Vic-Rudnik,4,2010,169.53,344040.92
6062911,"BTC, NASELJE ATRIUM, ZELENA JAMA",Vic-Rudnik,4,2010,169.53,342056.44
6075143,LJ. ŠIŠKA,Vic-Rudnik,4,2009,107.42,156100.0
5795488,POMURJE.,Vic-Rudnik,2,2007,41.7,120500.0
6063648,BROD,Vic-Rudnik,1,2006,36.1,115000.0
6050839,"BROD, ATRIJSKO, SOSESKA OSMICA",Vic-Rudnik,P,2016,93.61,301767.0
6070980,"BROD, ATRIJSKO, SOSESKA OSMICA",Vic-Rudnik,P,2016,93.61,301767.0
6071038,"BROD, LJ. TACENSKI DVORI",Vic-Rudnik,1,2004,94.5,230000.0
6056228,"BROD, MIRNA LOKACIJA BLIZU NARAVE",Vic-Rudnik,4,2009,118.62,320000.0
6050845,"BROD, PENTHOUSE, SOSESKA OSMICA",Vic-Rudnik,2,2016,91.44,266308.0
6070982,"BROD, PENTHOUSE, SOSESKA OSMICA",Vic-Rudnik,2,2016,91.44,266308.0
6050852,"BROD, PENTHOUSE, SOSESKA OSMICA",Vic-Rudnik,2,2016,92.41,223270.9
6070989,"BROD, PENTHOUSE, SOSESKA OSMICA",Vic-Rudnik,2,2016,92.41,223270.9
6050861,"BROD, SOSESKA OSMICA",Vic-Rudnik,1,2016,41.29,140036.0
6070994,"BROD, SOSESKA OSMICA",Vic-Rudnik,1,2016,41.29,140036.0
6033361,"BROD, SOSESKA OSMICA",Vic-Rudnik,1,2016,41.29,140036.0
6050862,"BROD, SOSESKA OSMICA",Vic-Rudnik,1,2016,48.81,159533.0
6070998,"BROD, SOSESKA OSMICA",Vic-Rudnik,1,2016,48.81,159533.0
6069635,"BROD, TACENSKI DVORI",Vic-Rudnik,1,2004,77.84,232000.0
6074693,BTC,Vic-Rudnik,4,1977,55.0,138000.0
6063893,"BTC, NASELJE ATRIUM, ZELENA JAMA",Vic-Rudnik,4,2010,169.53,344645.2
6073676,"BTC, NOVE JARŠE",Vic-Rudnik,VP,1962,46.0,105000.0
5990733,DOBRUNJE,Vic-Rudnik,P,1928,52.3,85000.0
6027327,DRAVLJE,Vic-Rudnik,4,1983,21.5,47000.0
6074241,DRAVLJE,Vic-Rudnik,6,1982,30.2,78000.0
6070325,DRAVLJE,Vic-Rudnik,10,1984,32.0,84500.0
6059832,DRAVLJE,Vic-Rudnik,9,1983,32.5,84500.0
6076045,DRAVLJE,Vic-Rudnik,P,1982,32.7,65000.0
6075594,DRAVLJE,Vic-Rudnik,2,1969,47.8,140000.0
6071127,DRAVLJE,Vic-Rudnik,8,1977,64.3,129000.0
6042047,DRAVLJE,Vic-Rudnik,1,2011,68.29,195000.0
6075010,DRAVLJE,Vic-Rudnik,3,1983,72.6,150000.0
6065388,DRAVLJE,Vic-Rudnik,3,1984,98.0,215000.0
6062423,DRAVLJE,Vic-Rudnik,3,1984,98.4,215000.0
6073056,"DRAVLJE, DRAVELJSKA GMAJNA",Vic-Rudnik,2,1983,105.0,241500.0
6055876,"DRAVLJE, NASPROTI MERCATOR CENTRA ŠIŠKA",Vic-Rudnik,3,1982,31.0,79500.0
6063840,"DRAVLJE, ULICA 28. MAJA 63",Vic-Rudnik,2,1970,36.0,90000.0
6069212,FUŽINE,Vic-Rudnik,P,1981,34.8,83500.0
5982626,FUŽINE,Vic-Rudnik,1,1987,87.0,160000.0
6070867,"FUŽINE, BLIŽINA FUŽINSKEGA GRADU",Vic-Rudnik,1,1870,55.0,115000.0
6074437,"FUŽINE, BRODARJEV TRG",Vic-Rudnik,VP,1982,69.0,135000.0
5788431,"PTUJ, BRSTJE",Vic-Rudnik,4,1988,87.0,165000.0
6075131,"FUŽINE, ŠTEPANJSKO NASELJE, BREZ PROVIZIJE",Vic-Rudnik,4,1977,23.3,61900.0
6066110,"FUŽINE, ŠTEPNJSKO NASELJE, BREZ PROVIZIJE ZA KUPCA",Vic-Rudnik,2,1977,23.3,68000.0
6075435,GUNCLJE,Vic-Rudnik,1,2007,140.0,285000.0
6074520,JARŠE,Vic-Rudnik,VP,1961,41.7,105000.0
6068302,JARŠE,Vic-Rudnik,7,1982,79.2,179000.0
6063421,KODELJEVO,Vic-Rudnik,1,2002,64.8,135000.0
6069104,"KODELJEVO, MIRNA LOKACIJA Z VRTOM",Vic-Rudnik,1,1960,54.0,135000.0
6074761,"KODELJEVO, VRT, POLOVIČNA PROVIZIJA",Vic-Rudnik,M,2000,110.0,222000.0
6066443,KOSEZE,Vic-Rudnik,1,1974,48.0,160000.0
6074155,KOSEZE,Vic-Rudnik,8,2002,51.0,127000.0
6075682,KOSEZE,Vic-Rudnik,1,2007,92.0,165000.0
6076217,KOSEZE,Vic-Rudnik,P,2008,100.5,695000.0
6055215,"KOSEZE, BLIŽINA KOSEŠKEGA BAJERJA",Vic-Rudnik,P,1971,60.1,139000.0
